slug,title,property_type,status,price,address_line,city_state,city,region,district,zone_type,payment_type,payment_terms,lat,lng,custom_fields
medinilla-street-fernwood-davao-city,"Medinilla Street, Fernwood, Davao City",Land,published,10000000,"Medinilla Street, Fernwood, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,,7.0330141,125.3926917,"{""internal_id"":""cmikdd6lz000bux3wuzf5a94v"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1drAGfQsq_T3umkNJVZ3wVNQK0cx2Wkp_?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1xrj0CLNRdqRd_3PPaRixN-Q9K0Y-zA80"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16wCSLK53v/""},""lot"":{""lot_area_sqm"":500,""terrain"":""F""}}"
macarthur-highway-proper-davao-city,"MacArthur Highway, Proper, Davao City",Land,published,35000000,"Eng Sweet and Hot Bakeshop, MacArthur Highway, Proper, Lizada, Toril District, Davao City, Davao Region, 8025, Philippines",Davao City,Davao City,Davao Region,Toril District,Commercial,buy,,7.0121172,125.4895728,"{""internal_id"":""cmikdjbr8000cux3wh4jgq2bj"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1pd2-pl2sJXRsPdk-UoaVfIu9r8PEUsIY?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1K-lYV2YJYDtNlSfF6YiTOnfME82NxAZb"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1284934376173476/""},""lot"":{""lot_area_sqm"":1299,""terrain"":""F""}}"
villa-de-mercedes-davao-city,"Villa de Mercedes, Davao City",Land,published,3000000,"Villa de Mercedes, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,BF,7.0043636,125.467904,"{""internal_id"":""cmike57th000dux3w7vjyckm8"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Jau Aguilar"",""links"":{""media"":""https://drive.google.com/drive/folders/13qajmS8FFV9Gs-h6SMvliIEv0YN8gtzN?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1305716160761964/""},""lot"":{""lot_area_sqm"":200,""terrain"":""F""}}"
villa-de-mercedes-davao-city-2,"Villa de Mercedes, Davao City",Land,published,3000000,"Villa de Mercedes, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,BF,7.0044915,125.4679011,"{""internal_id"":""cmike8ol1000eux3wiu3uw70a"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Jau Aguilar"",""links"":{""media"":""https://drive.google.com/drive/folders/13qajmS8FFV9Gs-h6SMvliIEv0YN8gtzN?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/19eMoNqMAv/""},""lot"":{""lot_area_sqm"":200,""terrain"":""F""}}"
villa-de-mercedes-davao-city-3,"Villa de Mercedes, Davao City",Land,published,4048000,"Villa de Mercedes, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,BF,7.0041494,125.4679039,"{""internal_id"":""cmikec0rg000fux3wnyvhratv"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Jau Aguilar"",""links"":{""media"":""https://drive.google.com/drive/folders/1L_TLa1k04RXnfb5B6-wimYnnHeTUcvY2?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16wXii5815/""},""lot"":{""lot_area_sqm"":253,""terrain"":""F""}}"
villa-de-mercedes-davao-city-4,"Villa de Mercedes, Davao City",Land,published,2500000,"Villa de Mercedes, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,Spot Cash,7.0100591,125.4700372,"{""internal_id"":""cmikeeuag000gux3w82vj82g2"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Abegail Bernales"",""links"":{""media"":""https://drive.google.com/drive/folders/1rjPcnhrPHF80qH5ClUHCO7BE-DPpI242?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16gvVz833H/""},""lot"":{""lot_area_sqm"":180,""terrain"":""F""}}"
villa-de-mercedes-davao-city-5,"Villa de Mercedes, Davao City",Land,published,2400000,"Villa de Mercedes, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,Spot Cash,7.0049853,125.4618463,"{""internal_id"":""cmikek4mp000hux3wmx0p0isb"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""P1, B7, L4"",""transaction_remarks"":""Coney Lajom"",""links"":{""media"":""https://drive.google.com/drive/folders/18WACCeprgnpTZVWkBvms1YgDOtgOpvT9?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1qyV8xm1w1TSMx1CRQsC69XtQgVlcpfSI"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/19eMoNqMAv/""},""lot"":{""lot_area_sqm"":200,""terrain"":""F""}}"
villa-de-mercedes-davao-city-6,"Villa de Mercedes, Davao City",Land,published,9045000,"Villa de Mercedes, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,BF; I; Cash,7.0045008,125.4637458,"{""internal_id"":""cmikemi78000iux3wxpmjzjm5"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Ian Deniega"",""links"":{""media"":""https://drive.google.com/drive/folders/1V34wAKcnCJweLfoOZbGEgeDuqD4IXfar?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/17iJBJjpQM/""},""lot"":{""lot_area_sqm"":603,""terrain"":""F""}}"
agton-street-purok-19-davao-city,"Agton Street, Purok 19, Davao City",Land,published,40000000,"Agton Street, Purok 19, Crossing Bayabas, Toril District, Davao City, Davao Region, 8025, Philippines",Davao City,Davao City,Davao Region,Toril District,Commercial,buy,,7.0175993,125.4975034,"{""internal_id"":""cmiketfa1000jux3wahz57ucp"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Coney Lajom"",""links"":{""media"":""https://drive.google.com/drive/folders/1rq01d2Hv_CpQ5DtW-wOLYSm8_LHoj0re?usp=sharing"",""title"":""https://drive.google.com/drive/folders/1xyY2fZ9qS7ma0TO8N03QHfXcIZaDjraj"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/18n6M6XWdp/""},""lot"":{""lot_area_sqm"":323,""terrain"":""F""}}"
curvada-davao-city,"Curvada, Davao City",Land,published,112500000,"Curvada, Marapangi, Toril District, Davao City, Davao Region, 8025, Philippines",Davao City,Davao City,Davao Region,Toril District,Farm Lot,buy,,7.0112124,125.4807898,"{""internal_id"":""cmikey0ar000kux3wxcggg80c"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Clean Title"",""transaction_remarks"":""Kristina Noble"",""links"":{""media"":""https://drive.google.com/drive/folders/1AUvcJesPX-iR8Y9zJVbNvBrHL9wdjdsz?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/17GL2wQg3ylub_ZjQqX4rZyEWOxbqy7-w"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/18sS2mqNJV/""},""lot"":{""lot_area_sqm"":25000,""terrain"":""F""}}"
purok-2-davao-city,"Purok 2, Davao City",Land,published,2500000,"Purok 2, Baliok, Talomo District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Talomo District,Residential,buy,Cash; I,7.0456422,125.4977952,"{""internal_id"":""cmikfroiq000lux3w1fzt9f2z"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Coney Lajom"",""links"":{""media"":""https://drive.google.com/drive/folders/13QeLo7WBP1rrIBDqBYytJ_GjwoYKUtX8?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1uhNjgl6YJi5D2ZrSuNXwRuXlm4yQvHUc"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1364686248198288/""},""lot"":{""lot_area_sqm"":300,""terrain"":""F""}}"
president-roxas-street-purok-11-davao-city,"President Roxas Street, Purok 11, Davao City",Land,published,10000000,"President Roxas Street, Purok 11, Crossing Bayabas, Toril District, Davao City, Davao Region, 8025, Philippines",Davao City,Davao City,Davao Region,Toril District,Residential,buy,Spot Cash,7.0246898,125.5016488,"{""internal_id"":""cmikfzfzn000mux3we59ely0y"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""NEGOTIABLE"",""transaction_remarks"":""Banker Gladys"",""links"":{""media"":""https://drive.google.com/drive/folders/1hITfIkXNK52gv6ITitQdlOl4BmNmoTJ6?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1364213561578890/""},""lot"":{""lot_area_sqm"":314,""terrain"":""F""}}"
president-roxas-street-purok-11-davao-city-2,"President Roxas Street, Purok 11, Davao City",Land,published,7000000,"President Roxas Street, Purok 11, Crossing Bayabas, Toril District, Davao City, Davao Region, 8025, Philippines",Davao City,Davao City,Davao Region,Toril District,Farm Lot,buy,Cash,7.0246898,125.5016488,"{""internal_id"":""cmikg4lnf000nux3wlqgsjozn"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""NEGOTIABLE"",""transaction_remarks"":""Jau Aguilar"",""links"":{""media"":""https://drive.google.com/drive/folders/1HXnGYFZFzkRtZlmn8Sg3Zx03XKyZ5Nbv?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1tkXrv1tWoA7mVYMRVxKRKQ1i4vUJoObe"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1348242213176025/""},""lot"":{""lot_area_sqm"":8670,""terrain"":""F""}}"
catigan-baracatan-road-habana-purok-2-davao-city,"Catigan-Baracatan Road, Habana, Purok 2, Davao City",Land,published,7000000,"Catigan-Baracatan Road, Purok 2, Habana, Toril District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Toril District,Farm Lot,buy,I; Cash,6.9960036,125.4000381,"{""internal_id"":""cmikg9s0x000oux3wah5rcnlo"",""availability_raw"":""FS"",""system_status"":""active"",""transaction_remarks"":""Coney Lajom"",""links"":{""media"":""https://drive.google.com/drive/folders/1pBgaw87-Dz_az6zT2BLp31Dn0xf_bh5S?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16MxAwESci/""},""lot"":{""lot_area_sqm"":3850,""terrain"":""F""}}"
cabadiangan-samal-davao-del-norte,"Cabadiangan, Samal, Davao del Norte",Land,published,455993600,"Cabadiangan, Mambago-A, Samal District, Samal, Davao del Norte, Davao Region, 8119, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Samal District,Residential,buy,Cash,7.0945439,125.7025907,"{""internal_id"":""cminvnl740000uxz84hek5mtc"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/10TBxTbA1RQaZ8fUwzbIlOSniHXsD18S6?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1KnKsOPPxQSYKjvcH_g5MXOPG3IHElF5W"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1FYg8eWgm9/""},""lot"":{""lot_area_sqm"":284996,""terrain"":""F""}}"
circumferential-road-samal-davao-del-norte,"Circumferential Road, Samal, Davao del Norte",Land,published,74835000,"Circumferential Road, Pangubatan, Kaputian District, Samal, Davao del Norte, Davao Region, 8119, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Kaputian District,Residential,buy,Cash,6.935257,125.7700804,"{""internal_id"":""cminvq9t20001uxz8wqlk641c"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/10NhT3TDU3rNnmmfP2KjQ2Ej39NfES32h?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1KnKsOPPxQSYKjvcH_g5MXOPG3IHElF5W"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16u2boJxaY/""},""lot"":{""lot_area_sqm"":124725,""terrain"":""F""}}"
circumferential-road-kumintang-samal-davao-del-norte,"Circumferential Road, Kumintang, Samal, Davao del Norte",Land,published,45000000,"Santos Beach Resort, Circumferential Road, Kumintang, Tagpopongan, Babak District, Samal, Davao del Norte, Davao Region, 8118, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Babak District,Commercial,buy,BF; I; Cash,7.1399983,125.783686,"{""internal_id"":""cminw0qie0002uxz8nv06485f"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Rocky Beach Line Property - no further details"",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":12000,""terrain"":""F""}}"
circumferential-road-kumintang-samal-davao-del-norte-2,"Circumferential Road, Kumintang, Samal, Davao del Norte",Land,published,20000000,"Circumferential Road, Kumintang, Tagpopongan, Babak District, Samal, Davao del Norte, Davao Region, 8118, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Babak District,Commercial,buy,Cash; I; BF,7.1397558,125.7842151,"{""internal_id"":""cminw3tbt0003uxz8wsyfjavh"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Rocky Beach Line Property - no further details"",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":2498,""terrain"":""F""}}"
circumferential-road-rose-b-samal-davao-del-norte,"Circumferential Road, Rose B, Samal, Davao del Norte",Land,published,34547750,"Circumferential Road, Rose B, Kanaan, Kaputian District, Samal, Davao del Norte, Davao Region, 8120, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Kaputian District,Farm Lot,buy,BF; I; Cash,6.9831216,125.7874006,"{""internal_id"":""cminw8dyq0004uxz822xubsni"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1hvCmY0ZksZPTF49HjtQh4qNWq-fOOxo8?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/1uAHn_t2_1S5mcAO_jIhWfsEo1t9AEUJn"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1E5eYpuiEi/""},""lot"":{""lot_area_sqm"":138191,""terrain"":""F""}}"
circumferential-road-purok-5-samal-davao-del-norte,"Circumferential Road, Purok 5, Samal, Davao del Norte",Land,published,21332850,"Circumferential Road, Purok 5, Pangubatan, Kaputian District, Samal, Davao del Norte, Davao Region, 8119, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Kaputian District,Farm Lot,buy,BF; I; Cash,6.9490029,125.788712,"{""internal_id"":""cminwbp050005uxz89m0lzvwy"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1EP_ot_fO0xA1BtVP-sBBcrybM2gh0Cfc?usp=drive_link"",""title"":""https://drive.google.com/drive/folders/186TvchdTGk8YVSl_GqGEiCogeZBZv6-J"",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/16DwdPvgYG/""},""lot"":{""lot_area_sqm"":60951,""terrain"":""F""}}"
circumferential-road-tagluno-samal-davao-del-norte,"Circumferential Road, Tagluno, Samal, Davao del Norte",Land,published,110000000,"Secret Paradise Store, Circumferential Road, Tagluno, Aundanao, Samal District, Samal, Davao del Norte, Davao Region, 8119, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Samal District,Commercial,buy,BF; I; Cash,7.089993,125.7839767,"{""internal_id"":""cminwfg2b0006uxz8r37mhpx2"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1VFiDAdbvi1gxUkvRG9KpOCaWn3H2qbd-?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1BSovX15y9/""},""lot"":{""lot_area_sqm"":10583,""terrain"":""F""}}"
purok-3-samal-davao-del-norte,"Purok 3, Samal, Davao del Norte",Land,published,55000000,"Purok 3, Mambago-A, Samal District, Samal, Davao del Norte, Davao Region, 8119, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Samal District,Commercial,buy,BF; I; Cash,7.095507,125.7073799,"{""internal_id"":""cminwha2i0007uxz8n0t9w9du"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/12zixsss92RVc8SmliGB5rgeZmDYmFr6P?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/17ijcT4CvW/""},""lot"":{""lot_area_sqm"":1000,""terrain"":""F""}}"
purok-3-samal-davao-del-norte-2,"Purok 3, Samal, Davao del Norte",Land,published,3500000,"Purok 3, Mambago-A, Samal District, Samal, Davao del Norte, Davao Region, 8119, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Samal District,Commercial,buy,BF; I; Cash,7.0954052,125.7068303,"{""internal_id"":""cminwjn8b0008uxz82uuwldxq"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1LqVbXaMKv7mgOSLcMOZJ8Ox8n4OR35yP?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1Be2Du3tM5/""},""lot"":{""lot_area_sqm"":600,""terrain"":""F""}}"
kinawitnon-pe-aplata-road-purok-5-samal-davao-del-norte,"Kinawitnon - Peñaplata Road, Purok 5, Samal, Davao del Norte",Land,published,3500000,"Kinawitnon - Peñaplata Road, Purok 5, Mambago-B, Babak District, Samal, Davao del Norte, Davao Region, 8118, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Babak District,Commercial,buy,BF; I; Cash,7.1110483,125.6925098,"{""internal_id"":""cminwnrhn0009uxz8yyc9eff2"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/1ipUuxrnVlFi0zPLtOo5AIVRPHCop_8Fg?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1EUsvNeY93/""},""lot"":{""lot_area_sqm"":441,""terrain"":""F""}}"
kinawitnon-pe-aplata-road-purok-5-samal-davao-del-norte-2,"Kinawitnon - Peñaplata Road, Purok 5, Samal, Davao del Norte",Land,published,9500000,"Kinawitnon - Peñaplata Road, Purok 5, Mambago-B, Babak District, Samal, Davao del Norte, Davao Region, 8118, Philippines","Samal, Davao del Norte","Samal, Davao del Norte",Davao Region,Babak District,Commercial,buy,BF; I; Cash,7.1116916,125.6919071,"{""internal_id"":""cminwqk7v000auxz8h40xn0be"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":""https://drive.google.com/drive/folders/13kFxpccNyk-_lM4tiv4mcFZAQY1HNc18?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1GzEpJAf6v/""},""lot"":{""lot_area_sqm"":1301,""terrain"":""F""}}"
kapitan-tomas-monteverde-sr-f-bangoy-street-davao-city,"Kapitan Tomas Monteverde Sr., F. Bangoy Street, Davao City",Land,published,21000000,"F. Bangoy Street, Kapitan Tomas Monteverde Sr., Agdao District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Agdao District,Residential,buy,BF; I; Cash,7.08055,125.622466,"{""internal_id"":""cmitxb6370006uxa4emr9nmgi"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""For verification: the actual total area is 241 sq.m (with a 9-meter frontage). It includes adjacent public land due to its corner lot location"",""links"":{""media"":""https://drive.google.com/drive/folders/1h11M9orVsKqA30rubGjia0fRR-l2a2zW?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/620083160870310/posts/648911277987498/""},""lot"":{""lot_area_sqm"":104,""terrain"":""F""}}"
lapu-lapu-talakitok-street-davao-city,"Lapu-Lapu, Talakitok Street, Davao City",Land,published,9000000,"Talakitok Street, Lapu-Lapu, Agdao District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Agdao District,Residential,buy,BF; I; Cash,7.0959468,125.6390058,"{""internal_id"":""cmitxgn480007uxa4g1qd6fvp"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":212,""terrain"":""F""}}"
rafael-castillo-r-castillo-street-davao-city,"Rafael Castillo, R. Castillo Street, Davao City",Land,published,12000000,"R. Castillo Street, Rafael Castillo, Agdao District, Buhangin District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Buhangin District,Commercial,buy,BF; I; Cash,7.0959902,125.6374114,"{""internal_id"":""cmitxis8d0008uxa45tbwv9oe"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""with Lis Pendens - other listing atong owner sa priscilla ug 12.5M damosa."",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":550,""terrain"":""F""}}"
purok-7-davao-city,"Purok 7, Davao City",Land,published,396000000,"Purok 7, Tugbok District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Tugbok District,Residential,buy,BF; I; Cash,7.1177497,125.5052041,"{""internal_id"":""cmitxw69g0009uxa4pfn5guwb"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Clean Title"",""links"":{""media"":""https://drive.google.com/drive/folders/13xQ31D2LsWlNJvL7RWs7PtfdEuYRVppp?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/share/p/1SSMHcVsYh/""},""lot"":{""lot_area_sqm"":220000,""terrain"":""F""}}"
coconut-davao-city,"Coconut, Davao City",Land,published,7500000,"Coconut, Tugbok District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Tugbok District,Residential,buy,Cash,7.1249473,125.4399623,"{""internal_id"":""cmity834m000buxa4bxz00g23"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Total of 5,978 sqm lot; 5,000 sqm only is for sale (Reason: 978 sqm remaining lot for Family common purposes)"",""links"":{""media"":""https://drive.google.com/drive/folders/1wZp4x7PW18BAWbJ_IpemgQ3dBmmFNej8?usp=drive_link"",""title"":"""",""td"":"""",""sm"":"""",""fbg"":""https://www.facebook.com/groups/1252791732721074/posts/1280561503277430/""},""lot"":{""lot_area_sqm"":5000,""terrain"":""F""}}"
bayog-purok-4-davao-city,"Bayog, Purok 4, Davao City",Land,published,123200000,"Purok 4, Bayog, Tugbok District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Tugbok District,Residential,buy,BF; I; Cash,7.1309136,125.5347459,"{""internal_id"":""cmityansg000cuxa4tl73j5ep"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":154000,""terrain"":""F""}}"
hawaii-street-deca-homes-4-davao-city,"Hawaii Street, Deca Homes 4, Davao City",Land,published,1000000,"Hawaii Street, Deca Homes 4, Tugbok District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Tugbok District,Residential,buy,BF; I; Cash,7.1119097,125.4945997,"{""internal_id"":""cmityhlzm000euxa4u4fqvyx3"",""availability_raw"":""FS"",""system_status"":""active"",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":120,""terrain"":""F""}}"
illinois-street-deca-homes-2-davao-city,"Illinois Street, Deca Homes 2, Davao City",Land,published,1700000,"Illinois Street, Deca Homes 2, Tugbok District, Davao City, Davao Region, 8000, Philippines",Davao City,Davao City,Davao Region,Tugbok District,Residential,buy,BF; I; Cash,7.1065309,125.4976193,"{""internal_id"":""cmityk6ek000fuxa45lqutjoy"",""availability_raw"":""FS"",""system_status"":""active"",""remarks"":""Patrick"",""links"":{""media"":"""",""title"":"""",""td"":"""",""sm"":""""},""lot"":{""lot_area_sqm"":120,""terrain"":""F""}}"
